fecha,fuente,archive,observaciones_primera,observaciones_segunda
2021-02-03,https://twitter.com/abi_bolivia/status/1357410163024678914,https://archive.org/details/vacunacioncovid19bolivia_20210203,,no existe un reporte publicado y transcrito
2021-02-04,https://twitter.com/SaludDeportesBo/status/1357504689013719040,https://archive.org/details/vacunacioncovid19bolivia_20210204,,no existe un reporte publicado y transcrito
2021-02-05,https://twitter.com/SaludDeportesBo/status/1357859137091211268,https://archive.org/details/vacunacioncovid19bolivia_20210205,,no existe un reporte publicado y transcrito
2021-02-06,https://twitter.com/SaludDeportesBo/status/1358241716143337472,https://archive.org/details/vacunacioncovid19bolivia_20210206,,no existe un reporte publicado y transcrito
2021-02-07,https://twitter.com/SaludDeportesBo/status/1358591162190356482,https://archive.org/details/vacunacioncovid19bolivia_20210207,,no existe un reporte publicado y transcrito
2021-02-08,https://twitter.com/SaludDeportesBo/status/1358940058322153474,https://archive.org/details/vacunacioncovid19bolivia_20210208,,no existe un reporte publicado y transcrito
2021-02-09,https://twitter.com/SaludDeportesBo/status/1359310310193188869,https://archive.org/details/vacunacioncovid19bolivia_20210209,,no existe un reporte publicado y transcrito
2021-02-10,https://twitter.com/SaludDeportesBo/status/1359684502180818947,https://archive.org/details/vacunacioncovid19bolivia_20210210,,no existe un reporte publicado y transcrito
2021-02-11,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-12,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-13,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-14,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-15,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-16,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-17,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-18,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-19,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-20,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-21,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-22,https://twitter.com/SaludDeportesBo/status/1364022107437367302,https://archive.org/details/vacunacioncovid19bolivia_20210222,,
2021-02-23,https://twitter.com/SaludDeportesBo/status/1364400276036272128,https://archive.org/details/vacunacioncovid19bolivia_20210223,,
2021-02-24,https://twitter.com/SaludDeportesBo/status/1364757963303514120,https://archive.org/details/vacunacioncovid19bolivia_20210224,,
2021-02-25,https://twitter.com/SaludDeportesBo/status/1365122481250578440,https://archive.org/details/vacunacioncovid19bolivia_20210225,,
2021-02-26,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-27,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-02-28,https://twitter.com/SaludDeportesBo/status/1366222625664610310,https://archive.org/details/vacunacioncovid19bolivia_20210228,,
2021-03-01,,,no existe un reporte publicado y transcrito,no existe un reporte publicado y transcrito
2021-03-02,https://twitter.com/SaludDeportesBo/status/1366959563212283904,https://archive.org/details/vacunacioncovid19bolivia_20210302,,
2021-03-03,https://twitter.com/SaludDeportesBo/status/1367290765194502146,https://archive.org/details/vacunacioncovid19bolivia_20210303,,
2021-03-04,https://twitter.com/SaludDeportesBo/status/1367661977959596032,https://archive.org/details/vacunacioncovid19bolivia_20210304,,
2021-03-05,https://twitter.com/SaludDeportesBo/status/1368020117586599936,https://archive.org/details/vacunacioncovid19bolivia_20210305,,
2021-03-06,https://twitter.com/SaludDeportesBo/status/1368377846620708872,https://archive.org/details/vacunacioncovid19bolivia_20210306,,
2021-03-07,https://twitter.com/SaludDeportesBo/status/1368739756213960712,https://archive.org/details/vacunacioncovid19bolivia_20210307,,
2021-03-08,https://twitter.com/SaludDeportesBo/status/1369100480287236101,https://archive.org/details/vacunacioncovid19bolivia_20210308,,
2021-03-09,https://twitter.com/SaludDeportesBo/status/1369467204413108229,https://archive.org/details/vacunacioncovid19bolivia_20210309,,
2021-03-10,https://twitter.com/SaludDeportesBo/status/1369824218255405061,https://archive.org/details/vacunacioncovid19bolivia_20210310,,
2021-03-11,https://twitter.com/SaludDeportesBo/status/1370191660093743109,https://archive.org/details/vacunacioncovid19bolivia_20210311,,
2021-03-12,https://twitter.com/SaludDeportesBo/status/1370551583285649411,https://archive.org/details/vacunacioncovid19bolivia_20210312,,
2021-03-13,https://twitter.com/SaludDeportesBo/status/1370912403395858435,https://archive.org/details/vacunacioncovid19bolivia_20210313,,
2021-03-14,https://twitter.com/SaludDeportesBo/status/1371277455516966912,https://archive.org/details/vacunacioncovid19bolivia_20210314,,
