fecha,Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosi,Santa Cruz,Tarija,Total
2021-02-03,48,303,687,361,106,388,203,1264,200,3560
2021-02-04,63,304,1044,1030,195,488,293,1393,362,5172
2021-02-05,154,529,1369,1783,300,550,396,1638,711,7430
2021-02-06,170,530,1369,1859,412,550,396,1638,712,7636
2021-02-07,199,530,1369,1859,499,550,396,1638,712,7752
2021-02-08,408,690,1525,1938,700,550,432,1879,783,8905
2021-02-09,570,776,1666,1987,715,550,463,2200,825,9752
2021-02-10,587,776,1674,2006,715,550,816,2218,825,10167
2021-02-11,,,,,,,,,,
2021-02-12,,,,,,,,,,
2021-02-13,,,,,,,,,,
2021-02-14,,,,,,,,,,
2021-02-15,,,,,,,,,,
2021-02-16,,,,,,,,,,
2021-02-17,,,,,,,,,,
2021-02-18,,,,,,,,,,
2021-02-19,,,,,,,,,,
2021-02-20,,,,,,,,,,
2021-02-21,,,,,,,,,,
2021-02-22,603,881,1674,2009,715,550,826,2218,825,10301
2021-02-23,603,881,1674,2009,715,550,826,2218,825,10301
2021-02-24,603,881,1674,2009,715,550,826,2218,825,10301
2021-02-25,603,881,1674,2033,715,550,826,2218,825,10325
2021-02-26,,,,,,,,,,
2021-02-27,,,,,,,,,,
2021-02-28,603,881,1674,2033,715,550,826,2218,825,10325
2021-03-01,,,,,,,,,,
2021-03-02,603,881,1674,2033,715,550,826,2218,825,10325
2021-03-03,603,881,1674,2033,715,550,826,2218,825,10325
2021-03-04,603,881,1674,2033,715,550,826,2218,825,10325
2021-03-05,603,881,1674,2033,715,550,826,2218,825,10325
2021-03-06,4861,8577,16364,23147,6149,1553,4995,24235,6516,96397
2021-03-07,4921,8629,16435,23589,6151,1553,5028,24295,6519,97120
2021-03-08,5170,8961,17494,24431,6436,1602,5197,26242,6703,102236
2021-03-09,5448,9272,18542,25568,6611,1674,5603,29448,7044,109210
2021-03-10,5719,9721,20285,27254,6821,1759,6035,31858,7559,117011
2021-03-11,5881,10247,21453,28436,6966,1828,6321,33224,7992,122348
2021-03-12,6016,10676,22558,29585,7109,1966,6596,34211,8482,127199
2021-03-13,6022,10723,22732,29871,7109,1974,6596,34241,8568,127836
2021-03-14,6022,10762,22822,30149,7109,1974,6603,34258,8568,128267
2021-03-15,6172,10913,23429,31210,7221,2088,6796,35021,8964,131814
2021-03-16,6303,11166,24375,32567,7273,2123,6971,35892,9362,136032
2021-03-17,6435,11599,25442,33655,7344,2199,7164,36578,10116,140532
2021-03-18,6592,12086,26126,34558,7450,2313,7416,37537,10738,144816
2021-03-19,6636,12293,28861,35465,7529,2338,7529,38312,11082,148045
2021-03-20,6666,12340,26963,35589,7607,2338,7555,38316,11214,148588
2021-03-21,6698,12350,27018,35628,7668,2338,7572,38316,11387,148975
2021-03-22,6772,12504,27614,36625,7803,2375,7693,39000,11566,151952
2021-03-23,6879,12742,29162,37388,7938,2419,7851,39757,11826,155962
2021-03-24,6998,12959,31661,38185,8096,2511,8068,40458,11968,160904
2021-03-25,7097,13093,34754,39037,8386,2660,8272,41403,12035,166737
2021-03-26,7290,13278,38143,39887,8537,2786,8564,42645,12134,173264
2021-03-27,8056,13293,38515,40116,8555,2786,8622,42669,12187,174799
2021-03-28,8059,13293,38603,40217,8555,2810,8632,42813,12187,175169
2021-03-29,8811,13375,40727,41146,8648,2855,8826,43887,12209,180484
2021-03-30,9302,13446,43424,42561,8779,2888,9051,45214,12320,186985
2021-03-31,10023,13422,45948,43781,9067,3266,9419,47560,12394,194880
2021-04-01,11148,13612,48106,45103,9224,4007,9855,49555,12493,203103
2021-04-02,11215,13615,48220,45294,9228,4194,9897,49938,12496,204097
2021-04-03,11595,13615,48295,45347,9263,4419,9920,50158,12503,205115
2021-04-04,11616,13655,48453,45476,9271,4486,9951,50592,12503,206003
2021-04-05,12725,13773,52450,46880,9708,4877,10467,52487,12559,215926
2021-04-06,14000,13971,57183,48345,10420,5491,11636,55735,12775,229556
2021-04-07,15185,14601,61359,50337,12193,5993,13265,59476,13354,245763
2021-04-08,16452,15469,64915,52756,14343,6651,16173,62404,14569,263732
2021-04-09,17728,16923,67801,55850,16725,7345,18667,65778,15984,282801
2021-04-10,17861,17143,68510,56865,17530,7483,19084,66235,16293,287004
