fecha,Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosi,Santa Cruz,Tarija
2021-02-02,0,0,0,0,0,0,0,0,0
2021-02-03,0,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,0,0,0,0
2021-02-05,0,0,0,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0
2021-02-09,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,0,0,0,0
2021-02-17,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,0,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,0,0,0
2021-02-20,0,0,0,12,0,0,0,0,0
2021-02-21,0,0,0,12,0,0,0,0,0
2021-02-22,0,10,24,12,0,85,54,0,25
2021-02-23,6,122,166,31,25,239,123,244,74
2021-02-24,42,276,588,264,99,349,173,619,224
2021-02-25,43,299,1320,1918,281,439,265,1664,401
2021-02-26,43,299,1320,1918,281,439,265,1664,401
2021-02-27,221,524,1320,1918,402,515,365,1664,672
2021-02-28,221,524,1320,1918,402,515,365,1664,672
2021-03-01,221,524,1320,1918,402,515,365,1664,672
2021-03-02,469,767,1625,1918,697,515,566,1810,795
2021-03-03,469,767,1625,1918,697,515,566,1810,795
2021-03-04,469,767,1625,1918,697,515,566,1810,795
2021-03-05,469,767,1625,1918,697,515,566,1810,795
2021-03-06,486,823,1664,1918,700,523,721,2147,803
2021-03-07,486,823,1664,1918,700,523,721,2147,803
2021-03-08,507,823,1664,1918,700,528,740,2147,803
2021-03-09,510,823,1664,1918,700,528,774,2148,805
2021-03-10,510,823,1664,1918,700,528,776,2154,805
2021-03-11,511,861,1664,1918,700,528,788,2158,810
2021-03-12,511,869,1664,1918,700,532,788,2159,810
2021-03-13,511,869,1664,1918,700,532,788,2159,810
2021-03-14,511,869,1664,1918,700,532,788,2159,810
2021-03-15,550,869,1664,1918,706,532,788,2159,810
2021-03-16,550,869,1664,1918,706,532,799,2159,810
2021-03-17,594,869,1664,1918,706,532,809,2159,810
2021-03-18,597,869,1664,1919,846,532,810,3046,846
2021-03-19,597,1637,1664,2938,1987,532,819,5711,1054
2021-03-20,645,1864,1664,3275,2924,532,819,5763,1086
2021-03-21,645,1973,1664,3425,3574,532,819,5763,1107
2021-03-22,823,3262,1978,6068,4458,751,939,8198,1758
2021-03-23,1336,5553,4191,10444,4931,906,1384,10415,2982
2021-03-24,1966,7202,7689,14336,5201,1009,2167,13937,3790
2021-03-25,2792,8158,11199,16936,5490,1185,3131,17734,4816
2021-03-26,3902,8646,14673,19843,5802,1288,3998,22134,5621
2021-03-27,4095,8693,15460,20371,5871,1294,4147,22478,5906
2021-03-28,4185,8708,15530,20565,5871,1294,4174,22480,5911
2021-03-29,4537,9004,16456,22467,6200,1389,4568,24600,6105
2021-03-30,4826,9252,17701,23971,6435,1480,4862,27382,6457
2021-03-31,5061,9497,19200,25536,6584,1568,5106,29760,6993
2021-04-01,5220,9859,20269,27106,6746,1640,5304,31046,7522
2021-04-02,5230,10264,20767,27249,6753,1698,5329,31129,7549
2021-04-03,5242,10270,21075,27467,6762,1701,5344,31157,7674
2021-04-04,5242,10282,21083,27791,6762,1711,5359,31167,7681
2021-04-05,5565,10496,22430,29830,6960,1819,5716,32438,8453
2021-04-06,5669,10714,23308,31096,7051,1953,5874,33550,9153
2021-04-07,5793,11162,24277,32002,7155,2012,6038,34408,9845
2021-04-08,5936,11610,25177,33050,7273,2103,6277,35356,10290
2021-04-09,6002,11967,25787,34345,7357,2137,6482,36228,10736
2021-04-10,6011,12018,25849,34509,7379,2137,6551,36257,10787
2021-04-11,6045,12018,25880,34536,7380,2146,6578,36293,10789
2021-04-12,6176,12235,26521,35155,7491,2177,6809,36847,11015
2021-04-13,6263,12533,28009,35727,7660,2228,7018,37530,11227
2021-04-14,6376,12843,30437,36538,7824,2313,7269,38279,11338
2021-04-15,6474,13135,33396,37312,8001,2403,7534,39206,11359
2021-04-16,6650,13305,36588,38212,8217,2537,7786,40283,11585
2021-04-17,6670,13307,36892,38422,8241,2550,7815,40342,11652
2021-04-18,6678,13307,36943,38513,8242,2552,7844,40342,11670
2021-04-19,6761,13425,39171,39442,8337,2608,8013,42002,11746
2021-04-20,6883,13480,40635,40619,8456,2667,8340,44221,11823
2021-04-21,6980,13572,41405,41704,8723,2701,8636,47107,11895
2021-04-22,7166,13698,42306,42861,8874,2717,8987,50050,11997
2021-04-23,7198,13723,42517,43210,8926,2752,9086,50963,12100
2021-04-24,7209,13725,42567,43277,8964,2753,9165,51022,12108
2021-04-25,7211,13732,42601,43388,8974,2758,9230,51022,12108
2021-04-26,7361,13816,44967,44636,9162,2766,9838,53439,12174
2021-04-27,7829,13927,47327,46128,9584,2788,10777,55247,12381
2021-04-28,8411,14346,48837,47880,10265,2816,11802,57548,12668
2021-04-29,9153,14853,49981,49256,11173,2884,12770,59382,13051
2021-04-30,9826,15712,50958,51526,12064,2924,13660,61953,13485
2021-05-01,9899,15797,51043,52018,12465,2969,13700,62131,13527
2021-05-02,9937,15815,51180,52373,12876,2972,13862,62188,13553
2021-05-03,10375,16211,52076,53760,13291,3009,14281,63967,13899
2021-05-04,10963,16819,52932,54900,13650,3035,14789,65363,14371
2021-05-05,11582,17366,53310,55939,13970,3082,15295,66623,14619
2021-05-06,12014,17826,53739,56755,14184,3128,15895,68003,14762
2021-05-07,12662,18076,54108,58142,14465,3201,16316,70224,14912
